Ticker,returnOnAssets,grossMargins,operatingMargins,revenueGrowth,earningsGrowth,currentRatio,marketCap,Label
GGRP,-0.01941,-0.03012,-0.28547,-0.499,,4.119,2543388983296.0,Tidak Memenuhi
HKMU,,,,,,,161087504384.0,Tidak Memenuhi
ALDO,0.014630001,0.12522,0.05154,0.314,,1.201,1376111034368.0,Tidak Memenuhi
IFII,0.10461,0.33918998,0.18082,-0.076,-0.214,2.496,2164759986176.0,Tidak Memenuhi
IGAR,0.05029,0.14708,0.10973,0.042,0.239,5.854,473168117760.0,Tidak Memenuhi
SMKL,0.021389998,0.18067,0.033469997,0.079,,0.996,563984072704.0,Tidak Memenuhi
BTON,-0.00989,0.03814,-0.13385001,-0.291,,2.605,279360012288.0,Tidak Memenuhi
IPOL,0.017690001,0.18969,0.05372,0.271,-0.133,1.152,882743050240.0,Tidak Memenuhi
MOLI,0.022079999,0.22891001,0.08238,0.05,2.842,2.702,822659055616.0,Tidak Memenuhi
IFSH,0.0651,0.48578998,0.17743,0.267,0.415,3.062,1548133597184.0,Tidak Memenuhi
KDSI,0.03546,0.13491,0.0126600005,0.024,-0.723,1.85,754919997440.0,Tidak Memenuhi
INAI,-0.01053,0.07087,-0.03317,-0.364,,0.813,100108795904.0,Tidak Memenuhi
INRU,0.00021,0.11581001,-0.18815,-0.552,,1.221,993051607040.0,Tidak Memenuhi
INTD,-0.07752,0.18024,-0.17538999,0.561,,17.357,130202157056.0,Tidak Memenuhi
CMNT,0.0128,0.19173001,0.06081,0.021,,0.483,13186638020608.0,Tidak Memenuhi
ALKA,-0.02256,0.14382,0.09618,-0.365,,22.145,133777195008.0,Tidak Memenuhi
KMTR,0.0792,0.089779995,-0.01764,0.132,-0.962,1.386,2251010342912.0,Tidak Memenuhi
DPNS,-0.00794,0.25254,-5.10496,-0.95,,512.59,102650281984.0,Tidak Memenuhi
AKPI,0.01228,0.098850004,0.00321,-0.06,,1.189,361226305536.0,Tidak Memenuhi
CTBN,,0.26066,0.03346,-0.583,-0.902,2.247,4201950478336.0,Tidak Memenuhi
TALF,0.02231,0.09877,0.05661,0.015,0.767,1.93,660476264448.0,Tidak Memenuhi
APLI,0.0019400001,0.13752,-0.04145,-0.295,,3.943,613202132992.0,Tidak Memenuhi
KKES,-0.01826,0.13655,-0.01192,-0.098,,1.789,40499998720.0,Tidak Memenuhi
BRNA,0.020130001,0.15376,0.11411,0.01,,1.065,685376995328.0,Tidak Memenuhi
TRST,0.021879999,0.11282,0.05874,0.117,,0.952,1342223941632.0,Tidak Memenuhi
YPAS,-0.00617,0.07138,0.00667,0.153,,1.649,315296022528.0,Tidak Memenuhi
LMSH,-0.05499,0.00605,-0.16644,-0.213,,6.476,24576000000.0,Tidak Memenuhi
ALMI,-0.08927,0.0,-37.47454,-1.0,,0.458,282384007168.0,Tidak Memenuhi
FASW,-0.0279,-0.0178,-0.06542,0.064,,0.892,17555842400256.0,Tidak Memenuhi
TDPM,,,,,,,1247726796800.0,Tidak Memenuhi
ETWA,,,,,,,326806994944.0,Tidak Memenuhi
SIMA,,,,,,,22129500160.0,Tidak Memenuhi
KBRI,,,,,,,434400002048.0,Tidak Memenuhi
MNCN,0.03499,0.49530998,0.15630001,-0.133,-0.282,9.056,3544879202304.0,Tidak Memenuhi
SCMA,0.038540002,0.35763,0.12111,0.009,0.216,3.591,21451973328896.0,Tidak Memenuhi
LPPF,0.17864999,0.65949,0.04535,-0.12,,0.522,1971823312896.0,Tidak Memenuhi
ACES,0.08094,0.4484,0.09169,-0.004,-0.063,4.788,7614600052736.0,Memenuhi
ERAA,0.04893,0.113129996,0.0346,0.164,0.361,1.176,6692197629952.0,Tidak Memenuhi
MINA,,0.59992003,-0.21451999,0.456,,3.34,1752187535360.0,Tidak Memenuhi
MAPI,0.070310004,0.41075,0.082959995,0.115,0.003,1.49,21414000197632.0,Tidak Memenuhi
GJTL,0.05039,0.19272,0.09871,-0.06,-0.176,1.505,3623784808448.0,Memenuhi
AUTO,0.032360002,0.1596,0.06883,0.051,0.224,1.98,12290319450112.0,Memenuhi
BUVA,0.02846,0.62066,0.20712,-0.007,8.771,1.099,17501902602240.0,Tidak Memenuhi
BMTR,0.02365,0.38264,0.13822,-0.112,0.526,4.351,2354761695232.0,Tidak Memenuhi
MPMX,0.03934,0.081920005,0.03002,-0.097,-0.414,1.507,4248428871680.0,Tidak Memenuhi
FUTR,0.028210001,0.37831002,0.19494,-0.734,1.16,11.089,4545353089024.0,Tidak Memenuhi
HRTA,0.113249995,0.052800003,0.04164,0.956,0.931,2.137,5848683249664.0,Tidak Memenuhi
FILM,-0.0017299999,0.53701,0.14766,0.115,,1.857,61786938146816.0,Tidak Memenuhi
RALS,0.03498,0.47134,-0.05672,-0.573,-0.911,3.949,2538580738048.0,Tidak Memenuhi
KPIG,0.00308,0.28329,0.14515,0.201,-0.276,0.603,14243340484608.0,Tidak Memenuhi
MAPA,0.10443,0.45088002,0.104849994,0.067,0.055,1.845,19952801153024.0,Tidak Memenuhi
MERI,,0.63453996,0.20364,0.144,-0.945,3.305,221518348288.0,Tidak Memenuhi
FAST,-0.07003,0.57277,-0.09262,-0.076,,0.307,3367699742720.0,Tidak Memenuhi
SLIS,-0.0057800002,0.08134,-0.19735001,-0.724,,11.246,197066981376.0,Tidak Memenuhi
DOOH,0.00822,0.21722999,0.11322,0.655,-0.318,7.25,1029272567808.0,Tidak Memenuhi
SMSM,0.18688999,0.37235,0.26709,0.093,0.148,5.521,11056657203200.0,Tidak Memenuhi
IMAS,0.022769999,0.17989,0.06205,0.087,4.104,0.914,4593434492928.0,Tidak Memenuhi
KAQI,,0.75014,0.27395,0.184,-0.523,7.799,137002803200.0,Tidak Memenuhi
ZATA,0.00992,0.4718,-0.03179,-0.263,,6.98,569231998976.0,Tidak Memenuhi
WOOD,0.03314,0.27137,0.10978,-0.153,-0.107,1.907,2856364277760.0,Tidak Memenuhi
MSIN,0.0374,0.28702,0.23316999,0.013,0.035,5.649,30641468997632.0,Tidak Memenuhi
CNMA,0.085439995,0.54997003,0.16441,0.072,0.126,3.405,9918054662144.0,Tidak Memenuhi
VKTR,0.00025,0.16715999,-0.0074299998,-0.039,,1.663,14437499011072.0,Tidak Memenuhi
ASLC,0.02447,0.28908002,0.023629999,0.132,-0.305,3.031,1261889126400.0,Tidak Memenuhi
SRIL,,,,,,,2986021224448.0,Tidak Memenuhi
IPTV,-0.01351,0.00982,-0.0919,-0.179,,4.093,1730115928064.0,Tidak Memenuhi
MSKY,-0.0269,-0.08524,-0.74555,-0.441,,1.008,797748166656.0,Tidak Memenuhi
BELL,0.03004,0.31383,0.04119,-0.097,,1.378,483226189824.0,Tidak Memenuhi
PMUI,,0.068,0.015140001,-0.127,0.257,6.207,858400030720.0,Tidak Memenuhi
JIHD,0.011829999,0.78113997,0.09834,0.015,-0.145,0.957,1374133813248.0,Tidak Memenuhi
TMPO,0.00605,0.4662,-0.04237,-0.149,,1.935,179916652544.0,Tidak Memenuhi
CARS,0.05481,0.12562999,-0.011030001,-0.309,0.047,0.907,1965000097792.0,Tidak Memenuhi
ABBA,0.018029999,0.36795,-0.029409999,-0.01,,0.526,232217673728.0,Tidak Memenuhi
NETV,-0.13972999,-0.30827,-3.8897,-0.583,,1.49,4384215007232.0,Tidak Memenuhi
PZZA,0.031,0.67982,0.01342,0.086,,0.577,691262849024.0,Tidak Memenuhi
DRMA,0.11892,0.17686,0.14002,0.103,0.027,1.817,4941176373248.0,Tidak Memenuhi
MARI,-0.09629,0.51845,-0.97865,-0.227,,3.229,178589892608.0,Tidak Memenuhi
DOSS,,0.05448,0.04546,0.376,-0.264,2.47,260474994688.0,Tidak Memenuhi
ERAL,0.05317,0.16679001,0.04463,0.276,-0.334,1.889,1494000074752.0,Tidak Memenuhi
ACRO,0.02725,0.44684,-0.043470003,-0.441,-0.753,1.39,301820379136.0,Tidak Memenuhi
VIVA,-0.03235,0.52628,-0.10549,-0.087,,0.573,477463838720.0,Tidak Memenuhi
ESTA,0.0077100005,0.50452,0.082320005,0.014,,0.343,538428637184.0,Tidak Memenuhi
PSKT,-0.01179,0.5301,-0.17824,-0.167,,0.317,1418118823936.0,Tidak Memenuhi
INDR,-0.016339999,0.00261,-0.03633,-0.09,,1.06,2093925400576.0,Tidak Memenuhi
VERN,,0.14669,0.25338,,,28.089,567112171520.0,Tidak Memenuhi
YELO,-0.0137600005,0.01783,0.059180003,-0.813,-0.859,20.154,130068660224.0,Tidak Memenuhi
JGLE,0.00973,0.68417,0.26736,0.054,,0.87,406474358784.0,Tidak Memenuhi
MDIY,0.17298001,0.56490004,0.21228,-0.061,-1.0,1.659,27457526693888.0,Tidak Memenuhi
EAST,0.05009,0.74297994,0.37645,-0.061,0.06,1.97,383755714560.0,Tidak Memenuhi
RAAM,-0.02286,0.25868,-0.1929,0.083,,1.016,1730659483648.0,Tidak Memenuhi
PART,,0.2176,0.052259997,-0.09,0.539,1.848,323683090432.0,Tidak Memenuhi
GEMA,0.04522,0.25107,0.0229,-0.068,,1.152,142399995904.0,Tidak Memenuhi
LIVE,0.04566,0.44009998,0.12585,0.539,-0.47,2.45,831333924864.0,Tidak Memenuhi
